0,1,2,3,4,objective,elapsed_sec
0,1,1,14,0,0.94293904,9.974434852600098
1,0,8,11,4,-1.0,14.188901901245117
0,1,0,7,0,0.92408526,23.908143997192383
0,1,4,14,4,-1.0,28.583724975585938
1,1,2,12,1,-1.0,32.81465411186218
2,1,1,14,0,-1.0,36.994863986968994
0,1,2,15,4,-1.0,41.08783292770386
0,1,1,12,0,0.94430196,50.882790088653564
0,1,1,11,0,0.95599365,60.84142303466797
0,0,1,12,0,0.92118794,70.57821393013
1,1,1,11,0,-1.0,74.77364802360535
0,1,1,10,4,-1.0,79.03851699829102
0,1,1,11,2,0.94096696,89.06491708755493
0,1,1,11,1,0.9289852,99.1843900680542
0,1,1,11,2,0.94673955,108.53064513206482
0,1,1,15,2,0.94295007,118.48573613166809
0,1,1,14,3,0.93871444,128.28626489639282
0,1,1,10,2,0.93457985,138.1956169605255
0,1,2,11,0,-1.0,142.51446199417114
0,1,1,13,4,-1.0,146.7538378238678
1,1,1,11,3,-1.0,150.88166785240173
0,1,1,14,0,0.9318058,160.05697178840637
0,1,1,15,3,0.9386162,169.8961501121521
0,1,1,11,3,0.92790943,179.81090903282166
0,1,2,10,0,-1.0,184.04551315307617
0,1,11,11,0,-1.0,188.19826102256775
0,1,1,5,4,0.9542803,198.28139209747314
0,1,1,10,0,0.95029086,208.17186999320984
0,1,1,9,0,0.9435994,218.068913936615
0,1,1,3,4,0.9385221,227.92351913452148
0,1,1,6,4,0.9508706,238.86496114730835
0,1,1,6,4,0.919213,248.59574580192566
0,0,1,8,4,0.93382204,259.1168940067291
0,1,1,13,2,0.9455462,269.8873088359833
0,1,1,13,3,0.93357354,280.49764704704285
0,0,0,9,4,-1.0,285.0187599658966
0,1,0,11,0,0.9460792,295.57314586639404
0,1,1,13,0,0.9391241,306.11845898628235
0,0,0,5,4,0.9244924,316.09664392471313
0,1,1,7,4,-1.0,320.691232919693
0,0,1,13,2,0.89886004,331.8009989261627
0,1,0,1,4,0.94880515,342.974191904068
0,0,0,4,4,-1.0,347.47806191444397
0,1,0,2,4,0.93357676,357.35186290740967
0,1,1,5,4,0.94792765,366.753769159317
0,0,0,2,3,0.9377072,376.5143120288849
0,0,0,11,3,0.8792102,386.2921061515808
0,1,0,0,4,0.93075204,396.61745500564575
0,0,1,8,4,0.91055304,406.55750799179077
0,1,0,5,4,0.9141675,417.1669669151306
0,0,0,6,4,0.91185814,427.3728029727936
0,1,1,4,4,-1.0,431.7984869480133
0,1,1,7,0,0.94478214,441.56884598731995
0,1,1,5,4,0.9414791,451.06219816207886
0,1,1,1,4,0.9292616,461.09852504730225
0,1,1,4,0,0.94763196,470.9296431541443
0,1,1,3,4,0.94221115,480.2495551109314
0,1,1,3,4,0.92816293,490.05623507499695
0,0,1,2,4,0.93697596,500.78744316101074
0,0,1,2,4,0.9329774,510.72914004325867
0,0,0,1,4,0.9176086,521.0319449901581
0,1,1,4,3,0.9463332,533.122636795044
0,1,1,5,4,0.937427,543.3873569965363
0,1,0,4,3,0.93783617,553.7167398929596
